action,blood glucose,reward,meal,risk,time
[[0.]],174.85825,-42.470422931106555,0.0,6.0269519757395695,03:45
[[0.]],175.0984,-42.59177815632309,0.0,6.188506977537544,03:48
[[0.]],175.38435,-42.74296594102445,0.0,6.352055367213671,03:51
[[0.]],175.75507,-42.94353629446121,0.0,6.517524965909956,03:54
[[0.]],176.24652,-43.2110347011728,0.0,6.684843206695956,03:57
[[0.]],176.87659,-43.551271753565544,0.0,6.853937285636684,04:00
[[0.]],177.63594,-43.9547911781335,0.0,7.024734306694631,04:03
[[0.]],178.5092,-44.41282670370141,0.0,7.197161420206754,04:06
[[0.]],179.48103,-44.91768750115246,0.0,7.371145954735234,04:09
[[0.]],180.53023,-45.457650723287045,0.0,7.546615542140987,04:12
[[0.]],181.60063,-45.99806109065064,0.0,7.723498235779116,04:15
[[0.]],182.58354,-46.47450073326005,0.0,7.901722621760305,04:18
[[0.]],183.35861,-46.8241563933474,0.0,8.081217923263178,04:21
[[0.]],183.8055,-46.986565408919304,0.0,8.261914097921144,04:24
[[0.]],183.82208,-46.91415531695758,0.0,8.443741928341165,04:27
[[0.]],183.41548,-46.63146232546272,0.0,8.626633105842597,04:30
[[0.]],182.75667,-46.25512736613857,0.0,8.810520307531949,04:33
[[0.]],182.05305,-45.89547449150527,0.0,8.99533726685363,04:36
[[0.]],181.51205,-45.65564102500248,0.0,9.181018837777565,04:39
[[0.]],181.3411,-45.63889356307671,0.0,9.36750105280287,04:42
[[0.]],181.7476,-45.94912282694916,0.0,9.554721174972952,04:45
[[0.]],182.93901,-46.69133187267961,0.0,9.742617744108703,04:48
[[0.]],185.12277,-47.97202138489706,0.0,9.931130617478722,04:51
[[0.]],188.50635,-49.89928343176063,0.0,10.120201005132934,04:54
[[0.]],190.51372,-50.645550711498146,0.0,10.309771500131355,04:57
[[0.]],188.98994,-49.19956651315111,0.0,10.499786103905997,05:00
[[0.]],190.26546,-50.379854107204494,0.0,10.690190246994675,05:03
[[0.]],193.68936,-52.51556787130137,0.0,10.880930805387603,05:06
[[0.]],198.61081,-55.28766587017239,0.0,11.07195611272683,05:09
[[0.]],204.37895,-58.36514144827232,0.0,11.263215968597343,05:12
[[0.]],210.34296,-61.411714154884734,0.0,11.454661352480187,05:15
[[0.]],215.85191,-64.09127438029518,0.0,11.646227160777304,05:18
[[0.]],220.2548,-66.0708979619673,0.0,11.837814461040878,05:21
[[0.]],222.90059,-67.0219928667352,0.0,12.02933622429762,05:24
[[0.]],223.2263,-66.683766466355,0.0,12.220723604803744,05:27
[[0.]],221.19733,-65.15961668874144,0.0,12.41191962307992,05:30
[[0.]],217.57135,-63.00615252825451,0.0,12.602875215312583,05:33
[[0.]],213.28218,-60.72806288898961,0.0,12.793546785016556,05:36
[[0.]],209.26363,-58.786113723080966,0.0,12.983894680053826,05:39
[[0.]],206.37909,-57.588774090502326,0.0,13.173882239910837,05:42
[[0.]],205.06918,-57.26360772362216,0.0,13.363475194575667,05:45
[[0.]],205.14035,-57.584868402577285,0.0,13.55264128031467,05:48
[[0.]],206.25816,-58.36030527791552,0.0,13.741349989328453,05:51
[[0.]],208.08815,-59.424435583753464,0.0,13.929572402092653,05:54
[[0.]],210.29897,-60.61189793475222,0.0,14.117281070798535,05:57
[[0.]],212.57765,-46.76861745722999,0.0,14.304449934398015,06:00
[[0.]],214.63895,-47.7561410542426,0.0,14.491054253216003,06:03
[[0.]],216.20367,-48.43492805759253,0.0,14.677070555698837,06:06
[[0.]],216.99274,-48.664849205303014,0.0,14.862476592713133,06:09
[[0.]],216.7719,-48.338758407110596,0.0,15.047251296569005,06:12
[[0.]],215.57634,-47.53317029978717,0.0,15.231374743033989,06:15
[[0.]],213.84541,-46.55492922533392,0.0,15.414828115275563,06:18
[[0.]],212.10826,-45.68676659771593,0.0,15.597593669092154,06:21
[[0.]],210.89403,-45.191303972459174,0.0,15.779654699049777,06:24
[[0.]],210.6725,-45.28969188932557,0.0,15.960995505303213,06:27
[[0.]],211.55696,-45.964539162177374,0.0,16.141601360978555,06:30
[[0.]],213.12614,-46.89432638345585,0.0,16.321458480056286,06:33
[[0.]],214.83994,-47.78339168869203,0.0,16.500553985729063,06:36
[[0.]],216.15822,-48.359793619181794,0.0,16.67887587923192,06:39
[[0.]],216.59766,-48.39260488491338,0.0,16.856413009154313,06:42
[[0.]],216.01546,-47.88351014518801,0.0,17.033155041249458,06:45
[[0.]],214.77968,-47.12678948329406,0.0,17.209092428761586,06:48
[[0.]],213.37186,-46.38731241991454,0.0,17.38421638328969,06:51
[[0.]],212.27357,-45.90462692562377,0.0,17.55851884620866,06:54
[[0.]],211.92792,-45.89103761663345,0.0,17.73199246066468,06:57
[[0.]],212.54701,-46.40416161585179,0.0,17.904630544161876,07:00
[[0.]],213.99667,-47.30515427490411,0.0,18.076427061754366,07:03
[[0.]],216.06569,-48.47282953460011,0.0,18.24737659985516,07:06
[[0.]],218.5429,-49.80131360212502,0.0,18.41747434067214,07:09
[[0.]],221.21706,-51.18410933990862,0.0,18.5867160372789,07:12
[[0.]],223.87701,-52.514513608948846,0.0,18.75509798932535,07:15
[[0.]],226.31158,-53.68586623994907,0.0,18.922617019392966,07:18
[[0.]],228.30957,-54.5917515978723,0.0,19.089270449994952,07:21
[[0.]],229.6598,-55.126153176538295,0.0,19.255056081223447,07:24
[[0.]],231.07112,-55.84600849608356,0.0,19.419972169040715,07:27
[[0.]],233.02058,-56.94040196845337,0.0,19.584017404212382,07:30
[[0.]],233.19827,-56.63841145407324,0.0,19.747190891878947,07:33
[[0.]],232.00787,-55.74104232657772,0.0,19.909492131759016,07:36
[[0.]],229.85304,-54.45204218938737,0.0,20.070920998979787,07:39
[[0.]],227.13748,-52.973482111939035,0.0,20.231477725525494,07:42
[[0.]],224.26488,-51.50621548604586,0.0,20.39116288229726,07:45
[[0.]],221.63893,-50.25031858227537,0.0,20.549977361774417,07:48
[[0.]],219.6633,-49.40565545360989,0.0,20.707922361267844,07:51
[[0.]],218.7417,-49.17280147243124,0.0,20.86499936675569,07:54
[[0.]],219.2213,-49.7136593751482,0.0,21.02121013728955,07:57
[[0.]],221.11029,-50.962002016544204,0.0,21.17655668996139,08:00
[[0.]],223.90834,-52.560028166191714,0.0,21.331041285417747,08:03
[[0.]],227.00212,-54.17515982805057,0.0,21.4846664139116,08:06
[[0.]],229.7783,-55.49757721450897,0.0,21.637434781877435,08:09
[[0.]],231.68181,-56.25989139825288,0.0,21.789349299018866,08:12
[[0.]],232.50705,-56.4356140489398,0.0,21.94041306589506,08:15
[[0.]],232.57274,-56.300874352077024,0.0,22.090629361994502,08:18
[[0.]],232.31406,-56.09991759676626,0.0,22.240001634282336,08:21
[[0.]],232.16623,-56.05048630772997,0.0,22.38853348620868,08:24
[[0.]],232.52463,-56.3414291345252,0.0,22.536228667166153,08:27
[[0.]],233.54588,-56.998647570408735,0.0,22.683091062382637,08:30
[[0.]],235.02847,-57.842585818725844,0.0,22.829124683237055,08:33
[[0.]],236.69124,-58.71481410036559,0.0,22.974333657986385,08:36
[[0.]],238.25308,-59.47419454952298,0.0,23.118722222889943,08:39
[[0.]],239.46147,-60.000275243420155,0.0,23.26229471372023,08:42
[[0.]],240.23573,-60.290822806164726,0.0,23.405055557646826,08:45
[[0.]],240.75294,-60.492112205629404,0.0,23.54700926548223,08:48
[[0.]],241.24742,-60.73434439095159,0.0,23.688160424277424,08:51
[[0.]],241.95346,-61.1348357740664,0.0,23.828513690255825,08:54
[[0.]],243.06595,-61.78239993184557,0.0,23.968073782073752,08:57
[[0.]],244.54288,-62.60314213696488,0.0,24.106845474396856,09:00
[[0.]],245.98703,-63.318458357582216,0.0,24.2448335917808,09:03
[[0.]],246.9222,-63.67182624384431,0.0,24.382043002846228,09:06
[[0.]],246.87221,-63.42483216141689,0.0,24.51847861473692,09:09
[[0.]],245.42593,-62.3871892904363,0.0,24.65414536785127,09:12
[[0.]],242.5627,-60.63814598671536,0.0,24.78904823083671,09:15
[[0.]],238.84749,-58.59284775096739,0.0,24.923192195837785,09:18
[[0.]],234.97539,-56.62654813615303,0.0,25.056582273987942,09:21
[[0.]],231.64153,-55.08362642505812,0.0,25.189223491135916,09:24
[[0.]],229.49013,-54.27165237344599,0.0,25.321120883798038,09:27
[[0.]],228.86021,-54.29184892792847,0.0,25.45227949532666,09:30
[[0.]],229.63293,-54.986093378742936,0.0,25.58270437228801,09:33
[[0.]],231.58772,-56.224043191685325,0.0,25.712400561039097,09:36
[[0.]],234.50397,-57.89649724703606,0.0,25.84137310449719,09:39
[[0.]],238.16109,-59.89314886574897,0.0,25.969627039093464,09:42
[[0.]],242.33852,-62.10291896658261,0.0,26.09716739190337,09:45
[[0.]],246.81564,-64.41431312443632,0.0,26.223999177946634,09:48
[[0.]],251.3719,-66.71580009498585,0.0,26.350127397649032,09:51
[[0.]],255.7867,-68.89600305018314,0.0,26.475557034460454,09:54
[[0.]],260.27707,-71.16264079063227,0.0,26.600293052621478,09:57
[[0.]],264.4975,-73.21477640636522,0.0,26.724340395072097,10:00
[[0.]],266.45987,-73.68014670168458,23.333333333333332,26.847717988215113,10:03
[[0.]],266.64404,-73.36430624576988,0.0,26.971024770901746,10:06
[[0.]],265.5386,-72.51557783506824,0.0,27.09776973137938,10:09
[[0.]],263.65082,-71.39258334732482,0.0,27.236394665296018,10:12
[[0.]],261.51025,-70.26508647066986,0.0,27.40047052322305,10:15
[[0.]],259.66623,-69.41162863598397,0.0,27.607829221847695,10:18
[[0.]],258.67975,-69.11466325471386,0.0,27.87818066503838,10:21
[[0.]],259.1081,-69.65181880582247,0.0,28.2289415602433,10:24
[[0.]],261.4193,-71.2377795693572,0.0,28.672341388892406,10:27
[[0.]],265.6329,-73.78175970774164,0.0,29.21418762374795,10:30
[[0.]],271.10678,-76.81164757776803,0.0,29.85356057847701,10:33
[[0.]],277.0302,-79.88128463017338,0.0,30.583261991709495,10:36
[[0.]],282.56934,-82.56573898850289,0.0,31.391112615024884,10:39
[[0.]],286.96945,-84.50435097086635,0.0,32.261931496289385,10:42
[[0.]],290.038,-85.73092094048455,0.0,33.17962327181752,10:45
[[0.]],292.4366,-86.77522492902726,0.0,34.12881235747676,10:48
[[0.]],295.02283,-88.11224614990167,0.0,35.09581661559081,10:51
[[0.]],298.66293,-90.1776562827842,0.0,36.06905173288696,10:54
[[0.]],304.11957,-93.32911702811728,0.0,37.039059724714235,10:57
[[0.]],311.48712,-97.45836988737912,0.0,37.9983346778987,11:00
[[0.]],319.85226,-101.8733080728349,0.0,38.941063639249535,11:03
[[0.]],328.0823,-105.95588688404376,0.0,39.86285121558605,11:06
