timestep,reward
1,-2.1279502
2,-2.4610095
3,-7.760208
4,-5.1961427
5,-11.643427
6,-5.3210645
7,-5.4053144
8,-8.437452
9,-5.6568084
10,-5.8219757
11,-5.986696
12,-6.122493
13,-10.233288
14,-8.734682
15,-9.149933
16,-10.751518
17,-10.575064
18,-5.4962354
19,-15.738744
20,-2.5190682
21,-2.0097141
22,-1.5952255
23,-1.2644225
24,-1.0053939
25,-0.79056394
26,-0.5705787
27,-0.2999688
28,0.052642606
29,-2.3291929
30,0.9732598
31,-2.2545989
32,-3.3523958
33,1.8807302
34,1.8831717
35,1.7605118
36,1.5518492
37,1.2932018
38,1.0164393
39,0.74708736
40,0.4929991
41,0.23324195
42,-0.07088158
43,-0.47281203
44,-7.522696
45,-1.8933593
46,-16.92444
47,-25.997013
48,-29.429415
49,-36.218365
50,-51.795868
51,-53.695824
52,-43.071827
53,-43.108864
54,-48.266983
55,-44.886185
56,-40.52858
57,-39.737473
58,-39.462532
59,-39.960842
60,-44.694828
61,-43.29149
62,-45.24848
63,-51.83323
64,-46.1
65,-46.1
66,-53.507378
67,-46.1
68,-57.307323
69,-46.1
70,-46.1
71,-46.1
72,-55.702988
73,-46.1
74,-46.1
75,-46.1
76,-46.1
77,-46.1
78,-48.843647
79,-46.1
80,-46.1
81,-51.165802
82,-46.1
83,-53.67299
84,-46.1
85,-46.1
86,-49.928944
87,-46.1
88,-56.566544
89,-55.170433
90,-46.1
91,-55.572136
92,-54.033382
93,-49.143562
94,-49.354515
95,-49.57128
96,-48.944145
97,-46.1
98,-46.1
99,-46.1
100,-46.1
101,-46.1
102,-46.1
103,-49.618347
104,-46.1
105,-46.1
106,-46.1
107,-2.1279502
108,-7.0005827
109,-5.1336884
110,-5.195895
111,-15.701054
112,-12.632256
113,-5.4007764
114,-5.5067353
115,-5.6405835
116,-5.7936783
117,-5.9400053
118,-10.106066
119,-6.0927415
120,-11.650711
121,-5.892543
122,-5.661508
123,-10.508307
124,-2.4915485
125,-1.6093115
126,-0.86312044
127,-0.24960956
128,0.24371448
129,0.62998414
130,0.9246259
131,1.1520652
132,-2.1920404
133,1.5203114
134,1.6874785
135,1.8285624
136,1.8989457
137,-2.9384289
138,-1.8584391
139,1.3038481
140,-6.2170963
141,0.37091485
142,-0.12048826
143,-0.5797757
144,-3.8249125
145,-8.410825
146,-1.5605458
147,-1.7957281
148,-10.009836
149,-2.459115
150,-19.218035
151,-19.286615
152,-23.067888
153,-31.880688
154,-42.09371
155,-41.10856
156,-44.46993
157,-46.044224
158,-46.1
159,-46.1
160,-45.858192
161,-44.968933
162,-43.800526
163,-48.12047
164,-42.4678
165,-42.840454
166,-44.06037
167,-45.49907
168,-46.1
169,-51.739502
170,-46.1
171,-46.1
172,-50.979034
173,-46.1
174,-46.1
175,-49.763165
176,-50.421684
177,-49.81398
178,-49.24758
179,-46.1
180,-46.1
181,-46.1
182,-46.1
183,-49.05432
184,-46.1
185,-51.11508
186,-46.1
187,-46.1
188,-46.1
189,-46.1
190,-56.463055
191,-46.1
192,-46.1
193,-51.22406
194,-46.1
195,-49.535767
196,-46.1
197,-50.288147
198,-48.985153
199,-50.40464
200,-46.1
201,-52.0046
202,-46.1
203,-46.1
204,-49.51272
205,-46.1
206,-46.1
207,-46.1
208,-46.1
209,-52.66707
210,-46.1
211,-46.1
212,-46.1
213,-46.1
214,-54.91587
215,-6.4983063
216,-9.912468
217,-5.133595
218,-11.410615
219,-5.2520614
220,-5.3143644
221,-5.3909163
222,-5.4886975
223,-5.6117554
224,-5.752397
225,-5.8859954
226,-14.776485
227,-6.0185957
228,-5.9639997
229,-5.813231
230,-5.586444
231,-5.3099866
232,-2.3353972
233,-1.5149225
234,-4.2050905
235,-0.271597
236,0.17127159
237,-5.072549
238,-6.1080894
239,0.9677311
240,1.1383983
241,1.3095254
242,1.494289
243,1.6844215
244,-7.6681004
245,-3.320913
246,1.829646
247,1.6212546
248,-6.919454
249,-2.4624577
250,0.49121585
251,-2.634148
252,-5.322079
253,-0.6577393
254,-0.95538104
255,-1.2477959
256,-1.5907468
257,-2.0523875
258,-15.493708
259,-26.16369
260,-22.704348
261,-28.08811
262,-37.579655
263,-41.654022
264,-44.978638
265,-50.06803
266,-46.1
267,-46.1
268,-50.257317
269,-46.03843
270,-45.588837
271,-44.746925
272,-44.412838
273,-50.6245
274,-45.717083
275,-46.1
276,-52.24293
277,-46.1
278,-46.1
279,-46.1
280,-46.1
281,-46.1
282,-46.1
283,-58.519806
284,-46.1
285,-46.1
286,-46.1
287,-46.1
288,-46.1
289,-49.14569
290,-53.28717
291,-49.441135
292,-46.1
293,-50.645412
294,-46.1
295,-53.9563
296,-51.23254
297,-50.64238
298,-46.1
299,-46.1
300,-46.1
301,-46.1
302,-46.1
303,-58.573475
304,-48.969513
305,-46.1
306,-46.1
307,-54.91433
308,-49.5975
309,-46.1
310,-46.1
311,-46.1
312,-46.1
313,-46.1
314,-46.1
315,-46.1
316,-52.786987
317,-46.1
318,-2.1279502
319,-2.4610095
320,-5.133742
321,-5.1962204
322,-5.255055
323,-17.884542
324,-11.796071
325,-5.5243287
326,-11.136057
327,-5.8484755
328,-6.0250897
329,-6.173053
330,-6.261809
331,-6.2636228
332,-6.1691833
333,-5.997008
334,-5.7722993
335,-5.5208893
336,-5.267787
337,-2.3927011
338,-1.7793227
339,-7.4408226
340,-8.709104
341,-0.53718936
342,-0.27832493
343,-0.037578203
344,0.22624198
345,0.54140866
346,0.9125711
347,1.2993436
348,-11.872551
349,1.8358516
350,-2.414758
351,-1.8473974
352,1.649824
353,1.4067065
354,1.1299487
355,0.8476988
356,0.5816754
357,0.33568886
