timestep,reward
1,22.349543
2,27.932465
3,26.96872
4,24.79981
5,21.706558
6,17.986952
7,13.999939
8,10.183026
9,6.997686
10,4.656685
11,2.9292157
12,1.4612389
13,-0.1258677
14,-2.119014
15,-4.1260858
16,-4.679801
17,-2.103173
18,4.942544
19,16.702856
20,31.002903
21,43.791817
22,52.105377
23,55.103462
24,54.036274
25,51.176697
26,48.04872
27,45.125076
28,42.244915
29,38.86651
30,34.250298
31,27.538725
32,17.544828
33,2.5529933
34,-19.724752
35,-51.269722
36,-92.19975
37,-140.86559
38,-193.88469
39,-246.50179
40,-294.7099
41,-337.36954
42,-374.57144
43,-406.94162
44,-435.52768
45,3.5904381
46,-12.644174
47,-13.943779
48,-15.413328
49,-2.3870118
50,-4.8989635
51,-7.015023
52,-8.986996
53,-25.784956
54,-12.379082
55,-28.740177
56,-14.840473
57,-15.654514
58,-16.1599
59,-31.319805
60,-16.002102
61,-14.979745
62,-28.10741
63,-10.301753
64,-21.617142
65,-17.616238
66,0.7805268
67,3.000771
68,-11.6003685
69,-13.717253
70,-3.1625793
71,-8.216298
72,-26.838129
73,-26.858427
74,-22.027727
75,-4.1605678
76,3.496955
77,-319.07657
78,-226.76979
79,-189.5005
80,-216.7549
81,-295.60733
82,-422.65405
83,-9.147188
84,-15.856562
85,-30.111395
86,-17.577707
87,-19.04915
88,-35.17849
89,-36.501522
90,-38.182816
91,-39.99034
92,-26.825584
93,-27.79405
94,-41.818436
95,-41.0
96,-41.0
97,-41.0
98,-41.0
99,-41.0
100,-41.0
101,-26.0
102,-41.0
103,-41.0
104,-26.0
105,-41.0
106,-41.0
107,-41.0
108,17.349543
109,27.932682
110,26.97004
111,24.802837
112,21.704027
113,17.95207
114,13.879219
115,9.904814
116,6.5032525
117,3.9434366
118,2.0822477
119,0.66976535
120,-0.56079584
121,-1.7875572
122,-2.5273063
123,-1.2954463
124,3.442868
125,12.647099
126,25.903353
127,40.244167
128,51.060154
129,55.19365
130,52.075882
131,43.721977
132,33.252586
133,22.515697
134,11.995416
135,1.3161362
136,-10.491742
137,-24.66423
138,-42.46775
139,-65.49096
140,-95.84766
141,-136.08781
142,-187.77773
143,-249.59953
144,-318.19678
145,-388.51477
