action,blood glucose,reward,meal,risk,time
[[0.]],136.50294,12.0159760400352,0.0,1.1119821617001946,00:03
[[0.]],142.34494,-4.799472113686219,0.0,1.1933853491900945,00:06
[[0.]],151.72162,-17.05241217406899,0.0,1.275089846436348,00:09
[[0.]],163.11357,-38.256895251031374,0.0,1.3482536961414242,00:12
[[0.]],175.07828,-44.56005936237369,0.0,1.409473835516055,00:15
[[0.]],186.21198,-50.15602897530447,0.0,1.4583544970077924,00:18
[[0.]],195.12859,-54.3001268219659,0.0,1.496011677044347,00:21
[[0.]],200.44864,-56.29330759765749,0.0,1.5241850479025263,00:24
[[0.]],200.96451,-55.587102490966174,0.0,1.5447446548300596,00:27
[[0.]],196.49155,-52.343599678168204,0.0,1.559442993572856,00:30
[[0.]],188.37941,-47.597161767841826,0.0,1.5698109578265353,00:33
[[0.]],178.31667,-42.274533495851884,0.0,1.5771324656287644,00:36
[[0.]],167.98935,-37.190299748098866,0.0,1.5824581987259998,00:39
[[0.]],158.97546,-18.0441647772602,0.0,1.5866357671763738,00:42
[[0.]],152.21571,-15.121982495230629,0.0,1.5903441085951031,00:45
[[0.]],147.69595,-6.242317394385413,0.0,1.594126137554652,00:48
[[0.]],145.18909,-5.279076052074464,0.0,1.598417148118993,00:51
[[0.]],144.46715,-5.145591691005831,0.0,1.6035683176528883,00:54
[[0.]],145.28114,-5.739866674694301,0.0,1.6098655549695076,00:57
[[0.]],147.25946,-6.877868292941679,0.0,1.61754430539399,01:00
[[0.]],149.84698,-8.262038509082181,0.0,1.6268010203320549,01:03
[[0.]],152.44756,-16.579187718860414,0.0,1.6378019622336724,01:06
[[0.]],154.46477,-17.517988355355552,0.0,1.6506899254089116,01:09
[[0.]],155.35826,-17.80829729522909,0.0,1.6655893493270084,01:12
[[0.]],154.92546,-17.399963078076837,0.0,1.6826102029918295,01:15
[[0.]],153.47041,-16.526967224094427,0.0,1.7018509344727835,01:18
[[0.]],151.40967,-15.417457500608133,0.0,1.7234007105430873,01:21
[[0.]],149.15968,-7.276614808438136,0.0,1.7473411167194333,01:24
[[0.]],147.12138,-6.295947854714649,0.0,1.7737474457881817,01:27
[[0.]],145.603,-5.610705369622034,0.0,1.8026896708609006,01:30
[[0.]],144.7738,-5.285099772954987,0.0,1.8342331749890437,01:33
[[0.]],144.77211,-5.385848526757739,0.0,1.8684392915431427,01:36
[[0.]],145.73618,-5.9866052863532495,0.0,1.9053656964245327,01:39
[[0.]],147.76752,-7.1409129301864755,0.0,1.94506668353795,01:42
[[0.]],150.74736,-15.768357622965558,0.0,1.9875933478936203,01:45
[[0.]],154.2266,-17.598778262516152,0.0,2.032993695531246,01:48
[[0.]],157.68265,-19.34802653842235,0.0,2.0813126956431356,01:51
[[0.]],160.59288,-35.740715849648325,0.0,2.1325922874366006,01:54
[[0.]],162.47966,-36.535957792002,0.0,2.1868713521331196,01:57
[[0.]],163.13506,-36.67182443124629,0.0,2.244185658850883,02:00
[[0.]],162.75587,-36.31750904975844,0.0,2.3045677918138314,02:03
[[0.]],161.62886,-35.636264282563864,0.0,2.368047065269524,02:06
[[0.]],160.0407,-34.773035873931725,0.0,2.434649431610089,02:09
[[0.]],158.27806,-18.869861639710365,0.0,2.5043973874252305,02:12
[[0.]],156.6276,-18.067011399375005,0.0,2.577309881540768,02:15
[[0.]],155.37592,-17.504306866028728,0.0,2.6534022284887464,02:18
[[0.]],154.80966,-17.322765238174362,0.0,2.732686030302127,02:21
[[0.]],155.21541,-17.66644273060202,0.0,2.815169109018847,02:24
[[0.]],156.64488,-18.53197821135574,0.0,2.900855451811794,02:27
[[0.]],158.31891,-19.409853016035015,0.0,2.989745170231675,02:30
[[0.]],159.27545,-19.78316372070345,0.0,3.081834474653479,02:33
[[0.]],159.63148,-19.870304905829546,0.0,3.177115664658106,02:36
[[0.]],159.50397,-19.732416752512503,0.0,3.275577135753687,02:39
[[0.]],159.00989,-19.42940139379578,0.0,3.377203402549514,02:42
[[0.]],158.26616,-19.020217475753125,0.0,3.4819751382351303,02:45
[[0.]],157.38974,-18.563199658026747,0.0,3.58986922999148,02:48
[[0.]],156.49759,-18.116261413237893,0.0,3.7008588497628994,02:51
[[0.]],155.70665,-17.73711747657982,0.0,3.8149135396550675,02:54
[[0.]],155.12411,-17.477258338354208,0.0,3.9319993110846947,02:57
[[0.]],154.79868,-17.352260524155405,0.0,4.0520787566966625,03:00
[[0.]],154.69133,-17.33018087127709,0.0,4.175111173978535,03:03
[[0.]],154.7435,-17.379271840856497,0.0,4.3010526994392,03:06
[[0.]],154.89667,-17.4704486409668,0.0,4.42985645217695,03:09
[[0.]],155.1009,-17.580014863568014,0.0,4.561472685639046,03:12
[[0.]],155.3579,-17.716262169882107,0.0,4.695848946369594,03:15
[[0.]],155.74672,-17.93006575134442,0.0,4.832930238551595,03:18
[[0.]],156.36366,-18.27241789372188,0.0,4.972659193170509,03:21
[[0.]],157.30502,-18.792156942372653,0.0,5.11497624066164,03:24
[[0.]],158.65305,-19.529426656087228,0.0,5.259819785945004,03:27
[[0.]],160.40558,-35.47159638744486,0.0,5.40712638480295,03:30
[[0.]],162.43388,-36.53487234951403,0.0,5.556830920612601,03:33
[[0.]],164.58115,-37.634791377723744,0.0,5.70886678050673,03:36
[[0.]],166.6905,-38.69071454958371,0.0,5.863166030101876,03:39
[[0.]],168.60764,-39.62381460217432,0.0,6.019659586001003,03:42
[[0.]],170.19302,-40.36530080001198,0.0,6.178277385345713,03:45
[[0.]],171.32954,-40.859700444324695,0.0,6.338948551763634,03:48
[[0.]],171.90498,-41.05188480348893,0.0,6.501601557125131,03:51
[[0.]],171.80714,-40.88664073854615,0.0,6.666164378590883,03:54
[[0.]],170.95976,-40.33379527925365,0.0,6.832564650499413,03:57
[[0.]],169.50201,-39.50209327900896,0.0,7.0007298107061455,04:00
[[0.]],167.8962,-38.67751485771281,0.0,7.170587241047993,04:03
[[0.]],166.67647,-38.135316050520686,0.0,7.342064401666163,04:06
[[0.]],166.37697,-38.13901126633111,0.0,7.515088958973753,04:09
[[0.]],167.47086,-38.91679926403215,0.0,7.689588907108887,04:12
[[0.]],170.06526,-40.47004495170923,0.0,7.86549268276056,04:15
[[0.]],173.71826,-42.49144497804393,0.0,8.042729273300793,04:18
[[0.]],177.86594,-44.67254631472315,0.0,8.221228318197214,04:21
[[0.]],181.94435,-46.7200491050133,0.0,8.4009202037186,04:24
[[0.]],185.43375,-48.37170300748367,0.0,8.581736150979873,04:27
[[0.]],188.07916,-49.544590620002865,0.0,8.763608297404193,04:30
[[0.]],190.02284,-50.38691887871455,0.0,8.946469771707292,04:33
[[0.]],191.49535,-51.034545697469426,0.0,9.130254762533678,04:36
[[0.]],192.72717,-51.60511595366017,0.0,9.31489858089607,04:39
[[0.]],193.94891,-52.21535453586354,0.0,9.500337716586971,04:42
[[0.]],195.3911,-52.98159824896881,0.0,9.686509888748265,04:45
[[0.]],197.2843,-54.020337171244435,0.0,9.87335409079736,04:48
[[0.]],199.8591,-55.44857678687676,0.0,10.060810629918624,04:51
[[0.]],203.34607,-57.38408057721452,0.0,10.248821161339174,04:54
[[0.]],203.47284,-56.762437969032035,0.0,10.43732871761243,04:57
[[0.]],196.74243,-52.00657639058957,0.0,10.626277733139428,05:00
[[0.]],193.63287,-51.19830873783366,0.0,10.81561406415982,05:03
[[0.]],193.44673,-51.686628580346245,0.0,11.005285004446346,05:06
[[0.]],195.48656,-53.14750192813119,0.0,11.195239296935755,05:09
[[0.]],199.0549,-55.2429910537449,0.0,11.385427141529558,05:12
[[0.]],203.45432,-57.623094749610246,0.0,11.575793811719628,05:15
[[0.]],207.98724,-59.93129494654815,0.0,11.76624920773767,05:18
[[0.]],211.95604,-61.81005972192851,0.0,11.95669808925673,05:21
[[0.]],214.66309,-62.90453619097056,0.0,12.147065148936498,05:24
[[0.]],215.50325,-62.93031503654384,0.0,12.337288970683906,05:27
[[0.]],214.42561,-61.98368234282562,0.0,12.527317306013899,05:30
[[0.]],212.21056,-60.6364117482553,0.0,12.717104150304486,05:33
[[0.]],209.82324,-59.40957147548141,0.0,12.90660792747441,05:36
[[0.]],208.2288,-58.78107696442992,0.0,13.095790357547088,05:39
[[0.]],208.29726,-59.162903755990534,0.0,13.284615745126567,05:42
[[0.]],210.32762,-60.58863724897988,0.0,13.473050527435042,05:45
[[0.]],213.76247,-62.605703116874864,0.0,13.661062982492176,05:48
[[0.]],217.85403,-64.79885167865471,0.0,13.848623036143259,05:51
[[0.]],221.8546,-66.78830155769381,0.0,14.035702130131877,05:54
[[0.]],225.06853,-68.23161163833122,0.0,14.222273127887807,05:57
[[0.]],227.1129,-54.0024754237447,0.0,14.408310243629018,06:00
[[0.]],228.07384,-54.2471972290878,0.0,14.593788985887546,06:03
[[0.]],228.14172,-54.085732147337,0.0,14.778686109974206,06:06
[[0.]],227.50693,-53.61449237699345,0.0,14.962979576000183,06:09
[[0.]],226.36371,-52.93201127047673,0.0,15.146648510378036,06:12
[[0.]],224.92957,-52.15217129653749,0.0,15.329673169530775,06:15
[[0.]],223.45686,-51.408386023299755,0.0,15.5120349050371,06:18
[[0.]],222.20575,-50.83177817785736,0.0,15.693716129752355,06:21
[[0.]],221.43636,-50.55183361705592,0.0,15.87470028463523,06:24
[[0.]],221.37569,-50.67473964429861,0.0,16.054971806129522,06:27
[[0.]],222.05205,-51.17221675997466,0.0,16.234516094022833,06:30
[[0.]],223.1956,-51.845481164620566,0.0,16.41331947974909,06:33
[[0.]],224.47034,-52.5119803712512,0.0,16.591369195126624,06:36
[[0.]],225.54018,-53.00298338688259,0.0,16.76865334154177,06:39
[[0.]],226.10191,-53.1734462907411,0.0,16.94516085959311,06:42
[[0.]],226.04918,-53.013084185000565,0.0,17.120881499218445,06:45
[[0.]],225.57092,-52.68117544801946,0.0,17.295805790325907,06:48
[[0.]],224.92169,-52.31944520423549,0.0,17.46992501395168,06:51
[[0.]],224.35608,-52.05500405081571,0.0,17.64323117396495,06:54
[[0.]],224.10896,-52.00077434859216,0.0,17.81571696933857,06:57
[[0.]],224.2972,-52.189504812165616,0.0,17.987375767003563,07:00
[[0.]],224.86052,-52.55278103217859,0.0,18.15820157529974,07:03
[[0.]],225.69933,-53.03236913844128,0.0,18.328189018037232,07:06
[[0.]],226.71405,-53.578461641569376,0.0,18.49733330917671,07:09
[[0.]],227.80507,-54.14112034734165,0.0,18.665630228137637,07:12
[[0.]],228.87279,-54.67037395772902,0.0,18.833076095739706,07:15
[[0.]],229.81761,-55.116249801664296,0.0,18.999667750780805,07:18
[[0.]],230.53996,-55.42882190236169,0.0,19.165402527254415,07:21
[[0.]],230.94023,-55.55822300432631,0.0,19.330278232206336,07:24
[[0.]],230.07353,-54.84607131723922,0.0,19.494293124229184,07:27
[[0.]],227.60864,-53.263654021310344,0.0,19.65744589259248,07:30
[[0.]],226.33508,-52.889193190023235,0.0,19.819735637004243,07:33
[[0.]],226.067,-52.974998302552436,0.0,19.981161847998827,07:36
[[0.]],226.61855,-53.42966832732641,0.0,20.14172438794442,07:39
[[0.]],227.8039,-54.16113670424604,0.0,20.30142347266429,07:42
[[0.]],229.4372,-55.07671004600023,0.0,20.460259653661947,07:45
[[0.]],231.33261,-56.083252285735185,0.0,20.618233800942868,07:48
[[0.]],233.30429,-57.08736174790559,0.0,20.775347086422524,07:51
[[0.]],235.1664,-57.99556619352988,0.0,20.93160096791086,07:54
[[0.]],236.75142,-58.72769479236398,0.0,21.086997173662283,07:57
[[0.]],238.00168,-59.279098489181095,0.0,21.241537687480907,08:00
[[0.]],239.02432,-59.74015259141255,0.0,21.395224734368465,08:03
[[0.]],239.9631,-60.19115122303947,0.0,21.548060766703983,08:06
[[0.]],240.96182,-60.704196838229585,0.0,21.700048450942987,08:09
[[0.]],242.14713,-61.338969523938445,0.0,21.85119065482339,08:12
[[0.]],243.54317,-62.08472562810714,0.0,22.00149043506716,08:15
[[0.]],245.02032,-62.842119682843155,0.0,22.15095102556311,08:18
[[0.]],246.41476,-63.52132023891121,0.0,22.29957582602022,08:21
[[0.]],247.5627,-64.04018705263398,0.0,22.447368391077745,08:24
