timestep,reward
1,-230.42738
2,-297.82278
3,-374.39493
4,-449.7181
5,-515.156
6,-559.82245
7,-572.1627
8,-542.19385
9,-466.32983
10,-363.2864
11,-252.78883
12,-163.14743
13,-100.68745
14,-77.74777
15,-85.082756
16,-112.88303
17,-149.65877
18,-179.24902
19,-183.17021
20,-155.1298
21,-108.696625
22,-60.23659
23,-21.09849
24,4.1281233
25,17.490868
26,24.204575
27,28.034399
28,31.546265
29,36.520657
30,43.27458
31,50.26197
32,54.81117
33,53.21786
34,35.763992
35,8.192345
36,-34.28143
37,-85.16848
38,-127.48698
39,-157.16275
40,-162.07654
41,-147.91489
42,-124.40724
43,-100.61174
44,-83.70665
45,-79.46222
46,-94.42319
47,-139.83994
48,-242.4185
49,-349.80753
50,-363.735
51,-409.0894
52,0.74520725
53,-7.264838
54,-15.423068
55,-37.855976
56,-28.64379
57,-31.867002
58,-31.7036
59,-42.754665
60,-20.974268
61,-28.507685
62,-6.910708
63,-17.589756
64,-16.933136
65,-5.3226476
66,-11.559965
67,-34.282833
68,-42.03396
69,-48.34329
70,-52.535477
71,-55.16591
72,-56.794186
73,-42.873093
74,-58.814987
75,-59.943336
76,-46.491123
77,-48.71172
78,-51.88444
79,-56.23825
80,-59.09183
81,-72.488625
82,-57.0
83,-57.0
84,-72.0
85,-57.0
86,-57.0
87,-57.0
88,-72.0
89,-72.0
90,-57.0
91,-72.0
92,-72.0
93,-72.0
94,-57.0
95,-72.0
96,-57.0
97,-72.0
98,-57.0
99,-57.0
100,-57.0
101,-72.0
102,-72.0
103,-72.0
104,-72.0
105,-57.0
106,-57.0
107,-72.0
108,-72.0
109,-57.0
110,-72.0
111,-57.0
112,-57.0
113,-235.42738
114,-297.82068
115,-374.37326
116,-449.60275
117,-514.7577
118,-558.785
119,-569.93866
120,-538.0816
121,-459.65753
122,-353.7027
123,-240.38254
124,-148.26881
125,-88.37593
126,-56.81963
127,-57.697723
128,-75.45834
129,-99.0155
130,-114.07157
131,-105.696396
132,-71.32894
133,-25.880184
134,9.72273
135,36.258026
136,52.93938
137,55.14908
138,53.234875
139,49.47427
140,43.94908
