timestep,reward
1,-117.04914
2,-120.12353
3,-113.17447
4,-96.55366
5,-75.409706
6,-54.020386
7,-35.46737
8,-21.710701
9,-13.709385
10,-10.752284
11,-10.208441
12,-9.236675
13,-5.110462
14,4.1123023
15,17.544676
16,31.39114
17,42.501175
18,49.54371
19,52.963158
20,54.298416
21,54.865482
22,55.034187
23,54.174854
24,49.97128
25,38.19554
26,15.161958
27,-24.979828
28,-69.26257
29,-111.15191
30,-153.56924
31,-187.55095
32,-211.05687
33,-223.20645
34,-224.3794
35,-217.39636
36,-207.873
37,-201.72244
38,-204.66147
39,-222.29909
40,-257.97903
41,-310.51822
42,-377.1278
43,2.9497511
44,-16.145914
45,-4.6288934
46,-22.060926
47,-8.027187
48,-7.2002983
49,-10.670798
50,-27.956322
51,-42.201965
52,-28.992287
53,-43.50216
54,-26.544645
55,-26.0
56,-26.0
57,-41.0
58,-26.0
59,-41.0
60,-26.0
61,-41.0
62,-41.0
63,-41.0
64,-41.0
65,-26.0
66,-26.0
67,-41.0
68,-26.0
69,-26.0
70,-26.0
71,-26.0
72,-41.0
73,-41.0
74,-41.0
75,-41.0
76,-26.0
77,-41.0
78,-26.0
79,-26.0
80,-41.0
81,-26.0
82,-26.0
83,-26.0
84,-26.0
85,-41.0
86,-26.0
87,-26.0
88,-26.0
89,-26.0
90,-26.0
91,-26.0
92,-41.0
93,-26.0
94,-41.0
95,-41.0
96,-26.0
97,-41.0
98,-26.0
99,-26.0
100,-26.0
101,-26.0
102,-26.0
103,-41.0
104,-26.0
105,-41.0
106,-26.0
107,-41.0
108,-122.04914
109,-120.12389
110,-113.17679
111,-96.55567
112,-75.39482
113,-53.964806
114,-35.376545
115,-21.642023
116,-13.763271
117,-11.0475235
118,-10.84662
119,-10.2544
120,-6.4426594
121,2.6311
122,16.128157
123,30.212603
124,41.64311
125,48.990345
126,52.630104
127,54.094746
128,54.751934
129,55.045498
130,54.463924
131,50.88273
132,40.276276
133,19.011412
134,-18.907948
135,-55.852646
