timestep,reward
1,0.9
2,0.9
3,0.9
4,0.9
5,0.9
6,0.9
7,0.9
8,0.9
9,0.9
10,0.9
11,0.9
12,0.9
13,0.9
14,0.9
15,0.9
16,0.9
17,0.9
18,0.9
19,0.9
20,0.9
21,0.9
22,0.9
23,0.9
24,0.9
25,0.9
26,0.9
27,0.9
28,0.9
29,-0.4157735
30,0.9
31,0.9
32,0.9
33,0.9
34,0.9
35,-26.90547
36,0.9
37,0.9
38,0.9
39,-5.1
40,-30.561098
41,-40.47519
42,-11.838673
43,-23.811327
44,-35.572445
45,-51.757187
46,-67.53794
47,-55.19422
48,-51.4302
49,-54.907494
50,-94.90182
51,-99.554474
52,-107.44866
53,-110.58989
54,-100.05513
55,-107.77769
56,-76.79423
57,-87.08299
58,-55.59588
59,-49.70639
60,-47.726624
61,-49.235218
62,-53.88754
63,-61.51533
64,-71.95855
65,-84.7555
66,-105.19036
67,-112.93371
68,-125.254234
69,-134.2146
70,-169.96313
71,-142.16985
72,-144.6336
73,-148.81836
74,-156.61389
75,-175.00343
76,-218.78485
77,-209.92906
78,-218.69508
79,-182.7007
80,-182.7007
81,-182.35063
82,-179.45386
83,-175.45818
84,-185.87209
85,-200.37306
86,-182.7007
87,-182.7007
88,-201.9611
89,-182.7007
90,-182.7007
91,-182.7007
92,-186.53545
93,-185.77051
94,-219.28156
95,-200.93152
96,-187.35126
97,-182.7007
98,-209.6165
99,-190.06587
100,-182.7007
101,-214.88246
102,-199.22198
103,-194.38896
104,-183.33647
105,-190.80103
106,-182.7007
107,-191.80484
108,-182.7007
109,-204.25793
110,-220.79582
111,-182.7007
112,-189.70192
113,-182.7007
114,-182.7007
115,-204.83755
116,-187.76222
117,-198.30281
118,-210.58777
119,-184.69379
120,-197.17184
121,-204.32343
122,0.9
123,0.9
124,0.9
125,0.9
126,0.9
127,0.9
128,0.9
129,0.9
130,0.9
131,0.9
132,0.9
133,0.9
134,0.9
135,0.9
136,0.9
137,0.9
138,0.9
139,0.9
140,0.9
141,0.9
142,0.9
143,0.9
144,0.9
145,0.9
146,0.9
147,0.9
148,0.9
149,0.9
150,0.9
151,-8.771177
152,-23.326714
153,-25.50437
154,0.9
155,0.9
156,-11.135963
157,0.18665516
158,0.9
159,-7.530316
160,-34.10961
161,-11.263874
162,-22.158894
163,-20.637075
164,-36.441296
165,-87.08977
166,-73.35786
167,-89.00307
168,-88.69267
169,-85.25395
170,-91.19297
171,-124.549164
172,-158.20578
173,-169.92496
174,-195.4981
175,-149.63414
176,-137.27098
177,-132.84744
178,-137.2921
179,-96.82757
180,-91.59212
181,-86.490135
182,-88.09919
183,-93.59162
184,-106.18533
185,-114.85191
186,-147.1764
187,-152.20668
188,-164.71608
189,-183.58127
190,-199.44894
191,-182.7007
192,-183.4756
193,-182.7007
194,-182.7007
195,-182.7007
196,-182.7007
197,-182.7007
198,-193.72543
199,-182.7007
200,-182.7007
201,-182.7007
202,-182.7007
203,-200.38779
204,-185.66812
205,-182.7007
206,-182.7007
207,-182.7007
208,-182.7007
209,-195.56602
210,-182.7007
211,-187.56477
212,-182.7007
213,-225.85614
214,-182.7007
215,-205.88791
216,-182.7007
217,-182.7007
218,-196.44293
219,-215.09251
220,-182.7007
221,-210.51273
222,-186.1513
223,-203.68631
224,-195.45854
225,-186.53038
226,-182.7007
227,-183.04405
228,-185.63274
229,-182.7007
230,0.9
231,0.9
232,0.9
233,0.9
234,0.9
235,0.9
236,0.9
237,0.9
238,0.9
239,0.9
240,0.9
241,0.9
242,0.9
243,0.9
244,0.9
245,0.9
246,0.9
247,0.9
248,0.9
249,0.9
250,0.9
251,0.9
252,0.9
253,0.9
254,0.9
255,0.9
256,0.9
257,0.9
258,0.9
259,0.9
260,-17.039656
261,-5.9360595
262,0.9
263,-7.6597276
264,-0.094322026
265,0.9
266,0.9
267,-5.3824797
268,0.9
269,-4.408902
270,-5.1
271,-26.409575
272,-15.975616
273,-61.468803
274,-48.204712
275,-54.199284
276,-60.461823
277,-95.8813
278,-66.154976
279,-134.05634
280,-119.33879
281,-137.504
282,-135.75604
283,-126.523476
284,-116.185005
285,-113.64461
286,-91.502
287,-81.51795
288,-75.33662
289,-90.55977
290,-88.450676
291,-88.03165
292,-91.080055
293,-104.59142
294,-118.25826
295,-182.34647
296,-150.20564
297,-183.37958
298,-174.05363
299,-183.05386
300,-216.55598
301,-182.7007
302,-182.77094
303,-195.10101
304,-182.7007
305,-223.39911
306,-182.7007
307,-189.38913
308,-211.56424
309,-182.7007
310,-182.7007
311,-189.92041
312,-184.45746
313,-182.7007
314,-192.16743
315,-182.7007
316,-209.67647
317,-182.7007
318,-182.7007
319,-188.59297
320,-196.22507
321,-182.7007
322,-210.0214
323,-182.7007
324,-184.79134
325,-206.13019
326,-185.90329
327,-182.7007
328,-208.31667
329,-182.7007
330,-206.43082
331,-206.19374
332,-190.66939
333,-201.44669
334,-182.7007
335,-182.7007
336,0.9
337,0.9
338,0.9
339,0.9
340,0.9
341,0.9
342,0.9
343,0.9
344,0.9
345,0.9
346,0.9
347,0.9
348,0.9
349,0.9
350,0.9
351,0.9
352,0.9
353,0.9
354,0.9
355,0.9
356,0.9
357,0.9
358,0.9
359,0.9
360,0.9
361,0.9
362,0.9
363,0.9
364,-15.505232
365,-15.301285
366,-33.131824
367,-8.123012
368,-0.7457918
369,0.9
370,0.9
371,-5.1
372,-5.1
373,-5.1
374,-10.900124
375,-37.34105
376,-79.007866
377,-86.703064
378,-100.07744
379,-112.10754
380,-120.66378
381,-124.811134
382,-128.54254
383,-122.844475
384,-127.00788
385,-161.55751
386,-185.26266
387,-191.0325
388,-195.82362
389,-190.15088
390,-164.84828
391,-158.65076
392,-166.78459
393,-117.524445
394,-108.36617
395,-115.1261
396,-105.39254
397,-118.63461
398,-125.77347
399,-159.36563
400,-164.88803
401,-162.66238
402,-180.80847
403,-182.7007
404,-182.7007
405,-182.7007
406,-194.40587
407,-187.02014
408,-188.14085
409,-182.7007
410,-182.7007
411,-182.7007
412,-182.7007
413,-189.23825
414,-182.7007
415,-201.18874
416,-212.33923
417,-186.81361
418,-183.39207
419,-182.7007
420,-182.7007
421,-182.7007
422,-182.7007
423,-190.74432
424,-182.7007
425,-182.7007
426,-204.41801
427,-182.7007
428,-182.7007
429,-195.23804
430,-182.7007
431,-182.7007
432,-182.7007
433,-208.03958
434,-182.7007
435,-182.7007
436,-205.73416
437,-210.32007
438,0.9
439,0.9
440,0.9
441,0.9
442,0.9
443,0.9
444,0.9
445,0.9
446,0.9
447,0.9
448,0.9
449,0.9
450,0.9
451,0.9
452,0.9
453,0.9
454,0.9
455,0.9
456,0.9
457,0.9
458,0.9
459,0.9
460,0.9
461,0.9
462,0.9
463,0.9
464,0.9
465,0.9
466,0.9
467,-6.027875
468,-13.37277
469,-5.1
470,-10.395287
471,-5.1
472,-10.856294
473,-15.2571335
474,-36.9927
475,-61.713593
476,-50.584488
477,-87.10033
478,-93.29376
479,-137.06828
480,-165.57578
481,-163.70824
482,-178.5361
483,-182.7007
484,-182.7007
485,-178.22156
486,-206.29955
487,-182.7007
488,-182.7007
489,-182.7007
490,-182.7007
491,-182.7007
492,-182.7007
493,-178.1729
494,-162.9116
495,-145.78664
496,-145.36452
497,-157.17615
498,-138.35637
499,-158.90695
500,-138.53508
501,-149.86009
502,-169.3539
503,-183.43929
504,-182.7007
505,-182.7007
506,-182.7007
507,-192.26619
508,-182.7007
509,-203.22731
510,-186.99632
511,-205.25868
512,-191.57513
513,-185.28606
514,-191.95348
515,-187.51082
516,-197.88797
517,-182.7007
518,-192.38123
