action,blood glucose,reward,meal,risk,time
[[0.]],138.78664,11.965463800742569,0.0,1.3294216656804787,00:03
[[0.]],138.98315,13.979193200731396,0.0,1.3847732424111439,00:06
[[0.]],138.54506,14.0462314665438,0.0,1.414885322882549,00:09
[[0.]],137.76941,14.080485072128496,0.0,1.4301637588653313,00:12
[[0.]],136.89915,14.088183192788446,0.0,1.4369443108091624,00:15
[[0.]],136.14537,14.074539826476371,0.0,1.439012540319919,00:18
[[0.]],135.70032,14.043194521647639,0.0,1.438610042996579,00:21
[[0.]],135.74529,13.995662518029928,0.0,1.4370639158777851,00:24
[[0.]],136.424,13.933791667957323,0.0,1.4351685335970656,00:27
[[0.]],137.6889,13.872880052236903,0.0,1.433412529511554,00:30
[[0.]],139.209,13.840982177103644,0.0,1.4321116752431193,00:33
[[0.]],140.58961,-3.4449601180031406,0.0,1.4314855431059312,00:36
[[0.]],141.4354,-3.8123003245375715,0.0,1.4317010200098654,00:39
[[0.]],141.39435,-3.6925371543469065,0.0,1.432896508468662,00:42
[[0.]],140.3762,-3.0745779288319373,0.0,1.435195023756077,00:45
[[0.]],138.68356,14.182318707117133,0.0,1.4387110125933587,00:48
[[0.]],136.70627,14.202464130382335,0.0,1.443553701947848,00:51
[[0.]],134.83408,14.180799615030672,0.0,1.449828592931238,00:54
[[0.]],133.43092,14.128264440457366,0.0,1.457638013274363,00:57
[[0.]],132.7057,14.0637840265362,0.0,1.4670812328627114,01:00
[[0.]],132.63489,14.006134931203016,0.0,1.4782544108594864,01:03
[[0.]],133.14323,13.955590381419313,0.0,1.4912505088065324,01:06
[[0.]],134.15544,13.909050877878796,0.0,1.506159229488619,01:09
[[0.]],135.5888,13.865597269912392,0.0,1.5230670012565337,01:12
[[0.]],137.31642,13.829538489227183,0.0,1.542057007185531,01:15
[[0.]],139.14528,13.809851326934936,0.0,1.5632092492595744,01:18
[[0.]],140.86754,-3.6215923936545007,0.0,1.5866006346835715,01:21
[[0.]],142.27531,-4.297259023819698,0.0,1.6123050715329637,01:24
[[0.]],143.18756,-4.700032006684575,0.0,1.6403935625979684,01:27
[[0.]],143.58447,-4.839145626626802,0.0,1.6709342885421927,01:30
[[0.]],143.68816,-4.856399542629621,0.0,1.7039926738707545,01:33
